int f,dec f,amp
2077,5100,1
2084,1400,1
2093,7000,1
2100,7950,1
2102,3490,1
2108,9550,1
2110,2330,1
2130,9620,1
2132,0150,1
2166,7730,1
2178,0900,1
2196,0390,1
2200,3900,1
2200,7220,1
2231,2110,1
2259,5110,1
2264,3890,1
2287,2480,1
2308,9970,1
2313,1020,1
2320,3560,1
2327,3940,1
2331,3060,1
2332,7960,1
2338,0050,1
2359,1040,1
2364,8260,1
2373,7300,1
2388,6270,1
2399,2390,1
2406,6580,1
2413,3090,1
2447,7080,1
2453,4740,1
2457,5950,1
2462,6440,1
2465,1480,1
2474,8140,1
2479,7760,1
2484,1870,1
2488,1480,1
2496,5330,1
2501,1270,1
2507,8990,1
2510,8340,1
2518,1010,1
2522,8480,1
2527,4330,1
2549,6130,1
2562,5340,1
2566,9120,1
2584,5360,1
2585,8760,1
2598,3690,1
2599,3960,1
2605,6530,1
2611,8720,1
2613,8230,1
2621,6680,1
2623,5320,1
2625,6680,1
2635,8080,1
2641,6490,1
2644,0000,1
2651,7060,1
2662,0560,1
2679,0620,1
2689,2120,1
2699,1070,1
2711,6540,1
2719,0250,1
2720,9050,1
2723,5770,1
2733,5840,1
2739,5460,1
2750,1440,1
2759,8170,1
2788,1050,1
2804,5210,1
2806,9840,1
2813,2880,1
2823,2760,1
2832,4360,1
2851,7980,1
2858,8970,1
2869,3080,1
2872,3360,1
2874,1720,1
2877,3010,1
2899,4150,1
2912,1580,1
2923,8520,1
2929,0080,1
2936,9050,1
2947,8760,1
2953,9400,1
2957,3650,1
2966,9000,1
2981,4460,1
2983,5720,1
2994,4290,1
2999,5120,1
3000,4520,1
3008,1390,1
3009,5700,1
3020,6391,1
3024,0325,1
3031,6390,1
3037,3887,1
3042,6650,1
3047,6043,1
3057,4456,1
3059,0860,1
3075,7210,1
3078,0180,1
3083,7240,1
3091,5780,1
3100,6660,1
3116,6330,1
3125,6540,1
3129,3300,1
3134,1110,1
3196,9300,1
3205,4000,1
3210,8340,1
3214,3990,1
3219,8100,1
3222,0690,1
3225,7850,1
3239,4360,1
3244,1900,1
3245,9840,1
3248,2060,1
3257,5940,1
3259,9940,1
3265,6190,1
3271,0070,1
3286,7550,1
3293,1330,1
3307,2320,1
3369,5490,1
3370,7860,1
3383,9800,1
3392,6570,1
3407,4585,1
3413,1312,1
3427,1192,1
3443,8762,1
3465,8630,1
3475,4540,1
3476,7040,1
3490,5737,1
3497,8430,1
3513,8200,1
3521,2640,1
3524,0710,1
3536,5570,1
3541,0832,1
3554,9290,1
3556,8830,1
3558,5180,1
3565,3786,1
3570,0970,1
3586,9860,1
3594,6360,1
3608,8587,1
3618,7676,1
3631,4629,1
3638,2980,1
3640,3900,1
3647,8424,1
3651,4690,1
3669,5230,1
3677,6300,1
3679,9132,1
3687,4564,1
3694,0100,1
3701,0900,1
3705,5657,1
3709,2459,1
3719,9346,1
3722,5625,1
3727,6187,1
3733,3190,1
3734,8670,1
3737,1315,1
3748,2617,1
3758,2324,1
3760,0520,1
3763,7885,1
3767,1914,1
3787,8830,1
3790,0950,1
3795,0040,1
3799,5490,1
3812,9641,1
3815,8397,1
3824,4440,1
3825,8840,1
3827,8220,1
3834,2222,1
3843,2590,1
3846,8030,1
3856,3717,1
3859,9114,1
3865,5260,1
3867,2190,1
3872,5040,1
3895,6558,1
3899,7073,1
3902,9452,1
3906,4794,1
3920,2577,1
3922,9115,1
3928,0830,1
3930,2962,1
3956,6810,1
3969,2570,1
3977,7440,1
4005,2414,1
4009,7170,1
4014,5340,1
4021,8700,1
4030,4920,1
4032,6300,1
4040,6440,1
4045,8150,1
4063,5970,1
4071,8150,1
4076,6370,1
4084,4990,1
4098,1870,1
4100,7430,1
4107,4920,1
4109,8080,1
4114,4490,1
4118,5442,1
4132,0600,1
4143,8710,1
4154,8120,1
4177,5960,1
4181,7570,1
4184,8950,1
4187,8010,1
4191,4360,1
4198,3036,1
4202,0310,1
4210,3520,1
4216,1826,1
4222,2210,1
4227,4320,1
4235,9420,1
4250,1300,1
4260,4790,1
4282,4060,1
4294,1243,1
4299,2410,1
4307,9015,1
4315,0837,1
4325,7615,1
4337,0490,1
4352,7370,1
4369,7740,1
4375,9294,1
4383,5445,1
4404,7499,1
4408,4750,1
4415,1222,1
4422,5700,1
4427,3039,1
4435,1520,1
4459,1210,1
4461,6521,1
4466,5508,1
4482,2580,1
4494,5680,1
4528,6133,1
4547,8510,1
4552,5490,1
4574,7220,1
4592,6550,1
4602,9440,1
4611,2890,1
4625,0550,1
4667,4590,1
4707,2810,1
4736,7800,1
4859,7406,1
4871,7355,1
4872,1460,1
4878,2100,1
4891,4919,1
4918,9990,1
4920,5018,1
4957,5966,1
5006,1175,1
5012,0674,1
5041,7590,1
5049,8250,1
5051,6360,1
5068,7860,1
5083,3420,1
5110,3849,1
5123,7230,1
5125,1300,1
5139,4800,1
5142,9400,1
5150,8430,1
5167,4873,1
5171,5953,1
5191,4670,1
5192,3540,1
5194,9480,1
5202,3390,1
5208,6010,1
5215,1850,1
5216,2780,1
5227,1920,1
5232,9400,1
5250,6500,1
5266,5790,1
5269,5410,1
5270,3600,1
5281,7990,1
5283,6260,1
5302,3140,1
5324,1820,1
5328,0500,1
5339,9380,1
5344,0260,1
5364,8830,1
5367,4600,1
5369,9570,1
5371,4930,1
5383,3710,1
5397,1310,1
5404,1480,1
5405,7780,1
5410,1090,1
5415,2070,1
5424,0760,1
5429,6990,1
5434,5270,1
5465,6130,1
